Cohorte,S_Etica_Profesional,S_Responsabilidad_Soc,S_Gestion_Proyectos,S_Aprendizaje_Dig,S_Comunicacion_ESP,S_Comunicacion_ING,S_Liderazgo_Equipo,P_Gestion_Proyectos,P_Etica_Profesional,P_Responsabilidad_Soc,P_Aprendizaje_Dig,P_Comunicacion_ESP,P_Comunicacion_ING,P_Liderazgo_Equipo,Carrera_Raw,Trabaja_Status,Antiguedad_Raw,Texto_Relevantes_6_1,T,Evento,ID_Encuestado
Julio,5.0,5.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,(RRA20) INGENIERÍA CIVIL,Si,Menos de 6 meses,Hidráulica,3,1,Julio_0
Julio,4.0,5.0,4.0,6.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,Si,Menos de 6 meses,"Control industrial, PLCs, instalaciones eléctricas y potencia.",3,1,Julio_1
Julio,5.0,5.0,3.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) SOFTWARE,No,,"Programación, aplicaciones móviles, estructura de datos y algoritmos, desarrollo web",7,0,Julio_2
Julio,5.0,3.0,3.0,4.0,4.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,No,,Robótica y todo lo relacionado a PLCs,7,0,Julio_3
Julio,5.0,4.0,4.0,4.0,3.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) DESARROLLO DE SOFTWARE,No,,"Bases de datos, Desarrollo de aplicaciones web, Tecnologias de seguriodad, Desarrollo de IoT",7,0,Julio_4
Julio,2.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,Si,Menos de 6 meses,Electrónica,3,1,Julio_5
Julio,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) DESARROLLO DE SOFTWARE,Si,Entre 1 y 2 años,"programación,bases de datos, gestión de proyectos",0,1,Julio_6
Julio,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) INGENIERÍA CIVIL,No,,Diseño de Proyectos Estructurales,7,0,Julio_7
Julio,6.0,5.0,3.0,6.0,3.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,Si,Entre 6 meses y 1 año,Optimización de procesos,0,1,Julio_8
Julio,3.0,4.0,3.0,5.0,3.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,Si,Menos de 6 meses,"Gestión de procesos, calidad, logística y distribución, programación, proyectos, cadena de suministro",3,1,Julio_9
Julio,4.0,3.0,4.0,5.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,(RRA20) COMPUTACIÓN,Si,Menos de 6 meses,"Ingeniería en sofware, Programación web, Datamining, Business intelligence",3,1,Julio_10
Julio,5.0,3.0,3.0,6.0,4.0,4.0,3.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,(RRA20) MATEMÁTICA,Si,Menos de 6 meses,"Análisis en espacios de Banach y de Hilbert, Teoría de operadores lineales y acotados, Introducción a la teoría de Distribuciones",3,1,Julio_11
Julio,5.0,5.0,4.0,5.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) ELECTROMECÁNICA,No,,"Electrónica analogica, Control y sistemas HMI, Instrumentacion",7,0,Julio_12
Julio,4.0,4.0,3.0,4.0,3.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) SOFTWARE,No,,Programación Orientada a Objetos,7,0,Julio_13
Julio,5.0,4.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) REDES Y TELECOMUNICACIONES,No,,TCP/IP,7,0,Julio_14
Julio,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) MECÁNICA,No,,"Termodinámica, transferencia de calor, sistemas de vapor, control de sistemas mecánicos",7,0,Julio_15
Julio,5.0,5.0,2.0,5.0,5.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(RRA20) GEOLOGÍA,No,,"Yacimientos minerales y metalogenia, Geología del petróleo, Vulcanologia, Geotecnia",7,0,Julio_16
